src_ip,dst_ip,src_port,dst_port,bidirectional_first_seen_ms,bidirectional_last_seen_ms,bidirectional_bytes,target_traffic,size_traffic
172.16.40.96,172.16.40.180,161,51954,1651680237585,1651680237590,653,0,6532321
172.16.40.180,172.16.40.96,51954,161,1651680237590,1651680237603,647,0,7153504
172.16.40.96,172.16.40.180,161,51954,1651680237604,1651680237609,653,0,6532321
172.16.40.180,172.16.40.96,51954,161,1651680237610,1651680237615,645,0,7153504
172.16.40.96,172.16.40.180,161,51954,1651680237616,1651680237621,669,0,6532321
172.16.40.180,172.16.40.96,51954,161,1651680237622,1651680237627,655,0,7153504
172.16.40.96,172.16.40.180,161,51954,1651680237629,1651680237640,649,0,6532321
172.16.40.180,172.16.40.96,51954,161,1651680237640,1651680237648,646,0,7153504
172.16.40.96,172.16.40.180,161,51954,1651680237649,1651680237657,647,0,6532321
172.16.40.180,172.16.40.96,51954,161,1651680237657,1651680237662,646,0,7153504
172.16.40.96,172.16.40.180,161,51954,1651680237664,1651680237670,667,0,6532321
172.16.40.180,172.16.40.96,51954,161,1651680237670,1651680237681,656,0,7153504
172.16.40.96,172.16.40.180,161,51954,1651680237683,1651680237689,649,0,6532321
172.16.40.180,172.16.40.96,51954,161,1651680237689,1651680237694,646,0,7153504
172.16.40.180,172.16.40.68,51954,161,1651680236681,1651680237699,650,0,6483839
172.16.40.96,172.16.40.180,161,51954,1651680237696,1651680237701,648,0,6532321
172.16.40.180,172.16.40.96,51954,161,1651680237701,1651680237707,646,0,7153504
172.16.40.96,172.16.40.180,161,51954,1651680237708,1651680237720,666,0,6532321
172.16.40.180,172.16.40.96,51954,161,1651680237720,1651680237731,651,0,7153504
172.16.40.96,172.16.40.180,161,51954,1651680237733,1651680237738,654,0,6532321
172.16.40.180,172.16.40.96,51954,161,1651680237738,1651680237743,646,0,7153504
172.16.40.96,172.16.40.180,161,51954,1651680237744,1651680237750,648,0,6532321
172.16.40.180,172.16.40.96,51954,161,1651680237750,1651680237762,646,0,7153504
172.16.40.96,172.16.40.180,161,51954,1651680237763,1651680237769,647,0,6532321
172.16.40.180,172.16.40.96,51954,161,1651680237769,1651680237774,667,0,7153504
172.16.40.96,172.16.40.180,161,51954,1651680237776,1651680237781,656,0,6532321
172.16.40.180,172.16.40.96,51954,161,1651680237781,1651680237787,648,0,7153504
172.16.40.96,172.16.40.180,161,51954,1651680237788,1651680237800,647,0,6532321
172.16.40.180,172.16.40.96,51954,161,1651680237800,1651680237810,646,0,7153504
172.16.40.96,172.16.40.180,161,51954,1651680237812,1651680237817,646,0,6532321
172.16.40.180,172.16.40.96,51954,161,1651680237817,1651680237824,667,0,7153504
172.16.40.96,172.16.40.180,161,51954,1651680237825,1651680237841,657,0,6532321
172.16.40.180,172.16.40.29,51954,161,1651680236537,1651680237843,1387,0,9049349
172.16.40.180,172.16.40.2,51954,161,1651680237537,1651680237844,653,0,41211180
172.16.40.180,172.16.40.99,51954,161,1651680237537,1651680237846,665,0,10002396
172.16.40.180,172.16.40.2,51954,161,1651680237844,1651680237848,671,0,41211180
172.16.40.180,172.16.40.96,51954,161,1651680237845,1651680237849,648,0,7153504
172.16.40.96,172.16.40.180,161,51954,1651680237851,1651680237857,647,0,6532321
172.16.40.180,172.16.40.96,51954,161,1651680237857,1651680237862,647,0,7153504
172.16.40.180,172.16.40.31,51364,22,1651680237753,1651680237862,428,0,964
172.16.40.180,172.16.40.127,51954,161,1651680236122,1651680237870,1449,0,14222382
172.16.40.96,172.16.40.180,161,51954,1651680237863,1651680237870,646,0,6532321
172.16.40.180,172.16.40.96,51954,161,1651680237871,1651680237883,666,0,7153504
172.16.40.96,172.16.40.180,161,51954,1651680237884,1651680237889,657,0,6532321
172.16.40.180,172.16.40.96,51954,161,1651680237890,1651680237895,648,0,7153504
172.16.40.96,172.16.40.180,161,51954,1651680237896,1651680237902,647,0,6532321
172.16.40.180,172.16.40.96,51954,161,1651680237902,1651680237908,647,0,7153504
172.16.40.96,172.16.40.180,161,51954,1651680237909,1651680237922,647,0,6532321
172.16.40.180,172.16.40.96,51954,161,1651680237922,1651680237927,646,0,7153504
172.16.40.96,172.16.40.180,161,51954,1651680237928,1651680237933,671,0,6532321
172.16.40.180,172.16.40.96,51954,161,1651680237934,1651680237940,652,0,7153504
172.16.40.96,172.16.40.180,161,51954,1651680237942,1651680237947,648,0,6532321
172.16.40.180,172.16.40.96,51954,161,1651680237948,1651680237953,647,0,7153504
172.16.40.53,172.16.40.180,161,51954,1651680237125,1651680237964,666,0,16331871
