src_ip,dst_ip,src_port,dst_port,bidirectional_first_seen_ms,bidirectional_last_seen_ms,bidirectional_bytes,target_traffic,size_traffic
172.16.40.180,172.16.40.80,51954,161,1651680409843,1651680409850,648,0,8731630
172.16.40.180,172.16.40.6,51954,161,1651680409848,1651680409853,651,0,9667864
172.16.40.80,172.16.40.180,161,51954,1651680409853,1651680409859,647,0,8214444
172.16.40.95,172.16.40.180,161,51954,1651680409842,1651680409863,655,0,5675354
172.16.40.102,172.16.40.180,161,51954,1651680409828,1651680409864,653,0,23773753
172.16.40.6,172.16.40.180,161,51954,1651680409855,1651680409866,652,0,11042702
172.16.40.180,172.16.40.6,51954,161,1651680409866,1651680409871,647,0,9667864
172.16.40.180,172.16.40.80,51954,161,1651680409860,1651680409877,647,0,8731630
172.16.40.6,172.16.40.180,161,51954,1651680409872,1651680409878,647,0,11042702
172.16.40.180,172.16.40.102,51954,161,1651680409864,1651680409879,648,0,23560157
172.16.40.180,172.16.40.6,51954,161,1651680409878,1651680409883,647,0,9667864
172.16.40.102,172.16.40.180,161,51954,1651680409880,1651680409886,653,0,23773753
172.16.40.80,172.16.40.180,161,51954,1651680409879,1651680409887,646,0,8214444
172.16.40.6,172.16.40.180,161,51954,1651680409884,1651680409890,647,0,11042702
172.16.40.180,172.16.40.102,51954,161,1651680409886,1651680409891,648,0,23560157
172.16.40.180,172.16.40.80,51954,161,1651680409887,1651680409894,662,0,8731630
172.16.40.180,172.16.40.6,51954,161,1651680409890,1651680409894,646,0,9667864
172.16.40.180,172.16.40.95,51954,161,1651680409863,1651680409895,646,0,5719006
172.16.40.102,172.16.40.180,161,51954,1651680409892,1651680409898,666,0,23773753
172.16.40.180,172.16.40.102,51954,161,1651680409898,1651680409903,651,0,23560157
172.16.40.6,172.16.40.180,161,51954,1651680409896,1651680409907,664,0,11042702
172.16.40.102,172.16.40.180,161,51954,1651680409905,1651680409910,654,0,23773753
172.16.40.180,172.16.40.6,51954,161,1651680409907,1651680409912,652,0,9667864
172.16.40.80,172.16.40.180,161,51954,1651680409896,1651680409913,657,0,8214444
172.16.40.6,172.16.40.180,161,51954,1651680409913,1651680409918,648,0,11042702
172.16.40.180,172.16.40.80,51954,161,1651680409913,1651680409922,648,0,8731630
172.16.40.180,172.16.40.6,51954,161,1651680409918,1651680409923,647,0,9667864
172.16.40.180,172.16.40.102,51954,161,1651680409910,1651680409924,646,0,23560157
172.16.40.95,172.16.40.180,161,51954,1651680409899,1651680409926,652,0,5675354
172.16.40.6,172.16.40.180,161,51954,1651680409925,1651680409929,647,0,11042702
172.16.40.80,172.16.40.180,161,51954,1651680409924,1651680409930,647,0,8214444
172.16.40.180,172.16.40.6,51954,161,1651680409929,1651680409934,645,0,9667864
172.16.40.180,172.16.40.80,51954,161,1651680409930,1651680409937,647,0,8731630
172.16.40.80,172.16.40.180,161,51954,1651680409939,1651680409955,647,0,8214444
172.16.40.180,172.16.40.95,51954,161,1651680409926,1651680409961,647,0,5719006
172.16.40.102,172.16.40.180,161,51954,1651680409947,1651680409964,648,0,23773753
172.16.40.180,172.16.40.80,51954,161,1651680409955,1651680409965,646,0,8731630
172.16.40.180,172.16.40.102,51954,161,1651680409964,1651680409969,646,0,23560157
172.16.40.80,172.16.40.180,161,51954,1651680409967,1651680409974,667,0,8214444
172.16.40.102,172.16.40.180,161,51954,1651680409971,1651680409976,647,0,23773753
172.16.40.180,172.16.40.80,51954,161,1651680409975,1651680409982,652,0,8731630
172.16.40.180,172.16.40.102,51954,161,1651680409976,1651680409983,667,0,23560157
172.16.40.102,172.16.40.180,161,51954,1651680409985,1651680410001,656,0,23773753
172.16.40.80,172.16.40.180,161,51954,1651680409984,1651680410004,656,0,8214444
172.16.40.180,172.16.40.102,51954,161,1651680410001,1651680410007,648,0,23560157
172.16.40.180,172.16.40.80,51954,161,1651680410005,1651680410012,647,0,8731630
172.16.40.80,172.16.40.180,161,51954,1651680410014,1651680410031,655,0,8214444
172.16.40.95,172.16.40.180,161,51954,1651680409981,1651680410035,667,0,5675354
172.16.40.180,172.16.40.80,51954,161,1651680410031,1651680410038,645,0,8731630
172.16.40.80,172.16.40.180,161,51954,1651680410040,1651680410048,667,0,8214444
172.16.40.102,172.16.40.180,161,51954,1651680410008,1651680410048,647,0,23773753
172.16.40.180,172.16.40.102,51954,161,1651680410049,1651680410054,646,0,23560157
172.16.40.180,172.16.40.80,51954,161,1651680410048,1651680410055,655,0,8731630
172.16.40.102,172.16.40.180,161,51954,1651680410055,1651680410060,646,0,23773753
172.16.40.180,172.16.40.102,51954,161,1651680410061,1651680410066,667,0,23560157
172.16.40.80,172.16.40.180,161,51954,1651680410057,1651680410074,649,0,8214444
172.16.40.180,172.16.40.11,51954,161,1651680404458,1651680410083,2099,0,8876092
172.16.40.29,172.16.40.180,161,51954,1651680408155,1651680410083,1003,0,9848599
172.16.40.23,172.16.40.180,161,51954,1651680404461,1651680410085,2232,0,9229385
172.16.40.102,172.16.40.180,161,51954,1651680410067,1651680410089,657,0,23773753
172.16.40.180,172.16.40.80,51954,161,1651680410074,1651680410093,646,0,8731630
172.16.40.180,172.16.40.102,51954,161,1651680410090,1651680410097,649,0,23560157
172.16.40.58,172.16.40.180,161,51954,1651680409471,1651680410099,1036,0,6410138
172.16.40.102,172.16.40.180,161,51954,1651680410098,1651680410104,647,0,23773753
172.16.40.180,172.16.40.95,51954,161,1651680410035,1651680410104,656,0,5719006
172.16.40.180,172.16.40.102,51954,161,1651680410104,1651680410109,652,0,23560157
172.16.40.80,172.16.40.180,161,51954,1651680410098,1651680410115,647,0,8214444
172.16.40.101,172.16.40.180,161,51954,1651680407081,1651680410117,1442,0,26656285
172.16.40.180,172.16.40.101,51954,161,1651680410117,1651680410121,648,0,26323621
172.16.40.180,172.16.40.80,51954,161,1651680410116,1651680410123,646,0,8731630
172.16.40.101,172.16.40.180,161,51954,1651680410121,1651680410125,705,0,26656285
172.16.40.102,172.16.40.180,161,51954,1651680410121,1651680410126,648,0,23773753
172.16.40.101,172.16.40.180,161,51954,1651680410125,1651680410129,675,0,26656285
172.16.40.95,172.16.40.180,161,51954,1651680410116,1651680410130,649,0,5675354
172.16.40.180,172.16.40.102,51954,161,1651680410126,1651680410131,666,0,23560157
172.16.40.80,172.16.40.180,161,51954,1651680410125,1651680410131,665,0,8214444
172.16.40.180,172.16.40.101,51954,161,1651680410130,1651680410134,664,0,26323621
172.16.40.102,172.16.40.180,161,51954,1651680410132,1651680410138,657,0,23773753
172.16.40.180,172.16.40.80,51954,161,1651680410132,1651680410140,656,0,8731630
172.16.40.180,172.16.40.102,51954,161,1651680410138,1651680410143,649,0,23560157
172.16.40.101,172.16.40.180,161,51954,1651680410135,1651680410149,668,0,26656285
172.16.40.180,172.16.40.101,51954,161,1651680410150,1651680410153,668,0,26323621
172.16.40.101,172.16.40.180,161,51954,1651680410154,1651680410157,679,0,26656285
172.16.40.102,172.16.40.180,161,51954,1651680410144,1651680410159,652,0,23773753
172.16.40.80,172.16.40.180,161,51954,1651680410142,1651680410163,649,0,8214444
172.16.40.180,172.16.40.101,51954,161,1651680410161,1651680410164,660,0,26323621
172.16.40.180,172.16.40.102,51954,161,1651680410161,1651680410167,650,0,23560157
172.16.40.101,172.16.40.180,161,51954,1651680410164,1651680410168,677,0,26656285
172.16.40.180,172.16.40.80,51954,161,1651680410163,1651680410171,646,0,8731630
172.16.40.180,172.16.40.101,51954,161,1651680410168,1651680410174,666,0,26323621
172.16.40.102,172.16.40.180,161,51954,1651680410168,1651680410174,651,0,23773753
172.16.40.180,172.16.40.101,51954,161,1651680410174,1651680410180,663,0,26323621
172.16.40.180,172.16.40.102,51954,161,1651680410175,1651680410180,646,0,23560157
172.16.40.80,172.16.40.180,161,51954,1651680410174,1651680410181,648,0,8214444
172.16.40.180,172.16.40.95,51954,161,1651680410130,1651680410195,646,0,5719006
172.16.40.180,172.16.40.101,51954,161,1651680410180,1651680410196,640,0,26323621
172.16.40.180,172.16.40.80,51954,161,1651680410181,1651680410199,646,0,8731630
172.16.40.101,172.16.40.180,161,51954,1651680410198,1651680410203,639,0,26656285
172.16.40.102,172.16.40.180,161,51954,1651680410182,1651680410204,671,0,23773753
172.16.40.180,172.16.40.101,51954,161,1651680410203,1651680410208,644,0,26323621
172.16.40.80,172.16.40.180,161,51954,1651680410201,1651680410213,651,0,8214444
172.16.40.180,172.16.40.102,51954,161,1651680410204,1651680410214,652,0,23560157
172.16.40.101,172.16.40.180,161,51954,1651680410210,1651680410215,650,0,26656285
172.16.40.180,172.16.40.80,51954,161,1651680410213,1651680410220,652,0,8731630
172.16.40.102,172.16.40.180,161,51954,1651680410215,1651680410220,652,0,23773753
172.16.40.180,172.16.40.102,51954,161,1651680410221,1651680410226,647,0,23560157
172.16.40.180,172.16.40.101,51954,161,1651680410215,1651680410231,641,0,26323621
