src_ip,dst_ip,src_port,dst_port,bidirectional_first_seen_ms,bidirectional_last_seen_ms,bidirectional_bytes,target_traffic
192.168.1.52,192.168.1.77,31480,23174,1588779624925,1588779625097,1638,0
192.168.1.77,192.168.1.52,23174,31480,1588779625122,1588779625297,1638,0
192.168.1.52,192.168.1.77,31480,23174,1588779625350,1588779625524,1638,0
192.168.1.77,192.168.1.52,23174,31480,1588779625540,1588779625714,1782,0
192.168.1.52,192.168.1.77,31480,23174,1588779625758,1588779625950,1750,0
192.168.1.77,192.168.1.52,23174,31480,1588779625958,1588779626144,1718,0
192.168.1.52,192.168.1.77,31480,23174,1588779626185,1588779626355,1638,0
192.168.0.1,255.255.255.255,68,67,1588779596451,1588779626467,2247,0
192.168.1.77,192.168.1.52,23174,31480,1588779626376,1588779626562,1702,0
192.168.1.52,192.168.1.77,31480,23174,1588779626612,1588779626781,1638,0
192.168.1.77,192.168.1.52,23174,31480,1588779626794,1588779626980,1670,0
192.168.1.52,192.168.1.77,31480,23174,1588779627017,1588779627209,1782,0
192.168.1.77,192.168.1.52,23174,31480,1588779627224,1588779627398,1670,0
192.168.1.52,192.168.1.77,31480,23174,1588779627443,1588779627616,1686,0
192.168.1.77,192.168.1.52,23174,31480,1588779627642,1588779627816,1830,0
192.168.1.52,192.168.1.77,31480,23174,1588779627871,1588779628041,1798,0
192.168.1.77,192.168.1.52,23174,31480,1588779628060,1588779628234,1670,0
192.168.1.52,192.168.1.77,31480,23174,1588779628276,1588779628467,1718,0
192.168.1.77,192.168.1.52,23174,31480,1588779628478,1588779628663,1782,0
192.168.1.52,192.168.1.77,31480,23174,1588779628702,1588779628893,1734,0
192.168.1.77,192.168.1.52,23174,31480,1588779628895,1588779629081,1702,0
192.168.1.52,192.168.1.77,31480,23174,1588779629128,1588779629315,1718,0
192.168.1.53,224.0.0.251,5353,5353,1588779596464,1588779632717,996,0
192.168.1.77,91.108.8.8,28150,529,1588779637543,1588779638169,790,0
192.168.1.77,91.108.12.3,28150,530,1588779637543,1588779638187,726,0
192.168.1.77,91.108.8.1,28150,533,1588779637543,1588779638187,726,0
192.168.1.77,91.108.12.5,28150,537,1588779637543,1588779638187,726,0
192.168.1.77,91.108.16.3,28150,537,1588779637543,1588779638187,758,0
192.168.1.77,91.108.16.1,28150,529,1588779637543,1588779638219,726,0
192.168.1.77,91.108.8.8,28150,529,1588779638187,1588779638546,1262,0
91.108.8.8,192.168.1.77,529,28150,1588779638555,1588779638623,1046,0
192.168.1.77,91.108.8.1,28150,533,1588779638546,1588779638704,910,0
192.168.1.77,91.108.8.8,28150,529,1588779638680,1588779639040,1494,0
91.108.16.3,192.168.1.77,537,28150,1588779638215,1588779639048,742,0
91.108.8.1,192.168.1.77,533,28150,1588779638775,1588779639060,1294,1
192.168.1.77,91.108.16.1,28150,529,1588779638546,1588779639102,774,0
