ID,sust_vict_,naturaleza,parentezco_vict,escenario
1,1.5,1,1,4
2,3.3,3,5,0
3,5,2.5,5,4
4,4,1,4,4
5,3.3,1,5,4
6,3.3,2.5,5,4
7,3.3,2.5,5,4
8,0,0,0,0
9,1,2.5,4.5,4
10,5,4,4.5,4
11,5,2,5,4
12,3.3,1.5,5,4
13,1.5,3,1,4
14,3.3,2.5,5,4
15,3.3,1,5,4
16,0,0,0,0
17,5,2,5,4
18,3.3,1.5,5,4
19,5,2,5,4
20,4,1,4,4
21,5,2,5,4
22,3.3,3.5,4.5,4
23,3.3,3.5,4.5,4
24,5,1.5,5,4
25,5,4,5,4
26,5,4,5,4
27,5,4,5,4
28,3.3,2.5,5,4
29,3.3,1.5,0,0
