year,vcop
2010,1898.68
2011,1847.00 
2012,1797.84 
2013,1869.10
2014,2000.33
2015,2743.42
2016,3050.98
2017,3050.98 
2018,2956.98
2019,3281.09
2020,3693.36
2021,3742.43 









 

